,City,Cloudiness,Country,Humidity,Lat,Lng,Temp,Wind Speed
79,airai,8,TL,91,-8.93,125.41,62.09,1.81
80,prince rupert,90,CA,93,54.32,-130.32,57.2,14.99
81,salalah,90,OM,94,17.01,54.1,77.0,4.7
82,fortuna,0,ES,55,38.18,-1.13,98.6,6.93
83,bad bevensen,20,DE,26,53.08,10.57,91.4,8.05
84,santa ines,20,EC,67,-0.82,-78.63,66.2,4.7
85,constitucion,5,MX,33,23.99,-104.67,71.6,4.7
86,port hardy,90,CA,93,50.7,-127.42,57.2,4.7
87,tuktoyaktuk,90,CA,80,69.44,-133.03,39.2,13.87
88,nova olimpia,0,BR,73,-14.8,-57.29,86.12,4.16
89,quevedo,80,EC,100,-1.02,-79.47,66.41,3.38
90,provideniya,92,RU,100,64.42,-173.23,48.14,16.46
91,saint-georges,80,CA,68,46.12,-70.67,76.85,4.94
92,pevek,0,RU,100,69.7,170.27,37.7,10.42
93,chapais,90,CA,77,49.78,-74.86,62.6,10.29
94,svetlogorsk,20,RU,77,53.14,59.15,66.2,8.95
95,coahuayana,92,MX,86,18.62,-100.35,72.53,2.93
96,tasiilaq,20,GL,81,65.61,-37.64,46.4,9.17
97,tsiroanomandidy,0,MG,33,-18.77,46.05,65.15,9.08
98,fare,88,PF,100,-16.7,-151.02,78.92,9.31
99,lompoc,90,US,100,34.64,-120.46,71.6,3.94
100,comodoro rivadavia,20,AR,35,-45.87,-67.48,55.4,25.28
101,isiro,64,CD,99,2.77,27.62,68.12,2.04
102,kaitangata,80,NZ,86,-46.28,169.85,43.64,6.62
103,longyearbyen,75,NO,71,78.22,15.63,50.0,5.82
104,namibe,0,AO,100,-15.19,12.15,65.42,13.78
105,ancud,92,CL,82,-41.87,-73.83,48.95,10.42
106,waingapu,0,ID,100,-9.65,120.26,64.61,3.94
107,kruisfontein,0,ZA,86,-34.0,24.73,58.31,16.69
108,kidal,92,ML,23,18.44,1.41,97.64,13.33
109,guane,48,CU,77,22.2,-84.09,85.76,3.71
110,puerto colombia,40,CO,66,10.99,-74.96,89.6,6.93
111,bluff,0,AU,91,-23.58,149.07,55.88,7.63
112,carnarvon,0,ZA,29,-30.97,22.13,56.33,10.31
113,arraial do cabo,75,BR,73,-22.97,-42.02,75.2,17.22
114,jamestown,12,AU,88,-33.21,138.6,42.65,15.46
115,chicama,90,PE,82,-7.84,-79.15,64.4,8.05
116,dingle,92,PH,99,11.0,122.67,74.51,15.12
117,kieta,80,PG,100,-6.22,155.63,76.94,3.6
118,paamiut,12,GL,97,61.99,-49.67,44.27,1.03
119,oum hadjer,48,TD,76,13.3,19.7,79.37,6.96
120,sao filipe,20,CV,98,14.9,-24.5,76.76,8.63
121,jingdezhen,0,CN,96,29.29,117.2,75.41,2.71
122,necochea,44,AR,78,-38.55,-58.74,53.72,11.43
123,oliver,75,CA,56,49.18,-119.55,68.0,8.05
124,karlstad,68,SE,53,59.38,13.5,75.2,14.99
125,porto novo,90,BR,88,-23.68,-45.44,62.6,6.93
126,anadyr,40,RU,76,64.73,177.51,50.0,20.13
127,hamilton,75,CA,74,43.26,-79.87,78.8,3.36
128,bharatpur,92,NP,99,27.68,84.43,74.96,1.14
129,chokurdakh,8,RU,81,70.62,147.9,39.32,15.12
130,cabo san lucas,5,MX,58,22.89,-109.91,87.8,3.36
131,clyde river,75,CA,86,70.47,-68.59,41.0,17.22
132,kapaa,90,US,88,22.08,-159.32,75.2,19.46
133,salinopolis,56,BR,98,-0.61,-47.36,80.54,12.1
134,spitsevka,75,RU,100,45.12,42.5,64.4,8.95
135,udachnyy,92,RU,65,66.42,112.4,58.67,8.63
136,victoria,75,BN,94,5.28,115.24,80.6,7.74
137,kapit,76,MY,89,2.02,112.94,73.97,1.7
138,ponta do sol,24,BR,76,-20.63,-46.0,74.6,10.76
139,leshukonskoye,0,RU,53,64.9,45.76,55.34,4.05
140,awjilah,0,LY,29,29.14,21.3,94.76,9.75
141,flin flon,75,CA,88,54.77,-101.88,68.0,4.7
142,tuatapere,0,NZ,100,-46.13,167.69,38.69,4.5
143,macau,0,BR,36,-5.11,-36.64,92.69,11.77
144,havre-saint-pierre,1,CA,73,50.23,-63.6,69.8,9.17
145,wencheng,88,CN,94,27.79,120.09,75.32,2.04
146,sao joao da barra,90,BR,94,-21.64,-41.05,69.8,9.17
147,butaritari,80,KI,100,3.07,172.79,79.82,7.63
148,port elizabeth,90,US,94,39.31,-74.98,87.8,5.82
149,tiznit,0,MA,83,29.7,-9.73,73.7,4.94
150,yerbogachen,68,RU,87,61.28,108.01,48.68,7.96
151,hithadhoo,76,MV,100,-0.6,73.08,81.08,9.31
152,rio gallegos,20,AR,48,-51.62,-69.22,41.0,34.45
153,cayenne,24,GF,78,4.94,-52.33,80.6,8.05
154,gat,75,SN,59,14.69,-16.54,93.2,9.19
155,aksu,0,KZ,77,52.04,76.93,62.6,8.95
156,saint anthony,1,US,52,43.97,-111.68,77.0,8.75
157,kasane,0,BW,34,-17.8,25.16,65.24,3.6
158,tayshet,8,RU,81,55.94,98.01,50.57,4.38
159,kirillov,32,RU,95,59.86,38.38,66.77,5.17
160,goderich,0,CA,79,43.74,-81.71,79.91,10.98
161,richards bay,32,ZA,95,-28.77,32.06,57.86,1.7
162,thompson,75,CA,60,55.74,-97.86,75.2,5.82
163,shache,0,CN,72,38.42,77.24,65.06,2.82
164,casablanca,0,MA,69,33.6,-7.62,80.6,11.41
165,lasa,20,CY,83,34.92,32.53,82.4,5.82
166,penalva,8,BR,78,-3.29,-45.17,85.31,6.85
167,deputatskiy,44,RU,88,69.3,139.9,41.66,2.71
168,nandigama,75,IN,94,16.78,80.29,80.6,9.64
169,antofagasta,40,CL,67,-23.65,-70.4,59.0,17.22
170,college,90,US,87,64.86,-147.8,59.0,3.36
171,bathsheba,40,BB,62,13.22,-59.52,87.8,21.92
172,aketi,24,CD,78,2.74,23.78,79.46,2.59
173,vorontsovka,32,RU,57,50.61,40.34,73.43,4.5
174,zorritos,24,PE,86,-3.68,-80.68,79.46,8.41
175,coffs harbour,32,AU,67,-30.3,153.13,62.6,11.41
176,hambantota,32,LK,100,6.12,81.12,78.65,16.02
177,saint george,40,GR,69,39.45,22.34,80.6,6.93
178,te anau,0,NZ,77,-45.41,167.72,24.02,2.26
179,saskylakh,48,RU,84,71.97,114.09,54.62,5.61
180,ucluelet,75,CA,82,48.94,-125.55,60.8,2.15
181,pozzallo,0,IT,52,44.81,9.34,91.4,1.12
182,berovo,8,MK,78,41.71,22.85,65.87,3.15
183,pangnirtung,90,CA,100,66.15,-65.72,44.6,5.82
184,barrhead,88,CA,82,54.12,-114.4,65.24,15.68
185,clarence town,90,AU,72,-32.59,151.78,59.0,14.99
186,nome,1,US,34,30.04,-94.42,93.2,10.29
187,phayakkhaphum phisai,80,TH,79,15.52,103.19,78.02,12.55
188,tessalit,64,ML,14,20.2,1.01,103.67,5.73
189,kavieng,36,PG,100,-2.57,150.8,82.16,3.71
190,palauig,68,PH,100,15.44,119.9,74.87,3.49
191,sao felix do xingu,32,BR,31,-6.64,-51.99,95.66,3.49
192,banjar,8,ID,80,-7.37,108.54,66.59,5.61
193,idrinskoye,0,RU,80,54.37,92.14,48.23,2.48
194,itoman,40,JP,100,26.12,127.67,82.4,4.7
195,shihezi,92,CN,41,44.3,86.03,80.27,4.83
196,nanortalik,76,GL,93,60.14,-45.24,45.17,7.74
197,verkhnyaya inta,92,RU,81,65.99,60.32,43.19,5.84
198,naze,64,NG,95,5.43,7.07,74.96,7.74
199,katsina,80,NG,98,12.99,7.6,74.06,5.61
200,geraldton,75,CA,55,49.72,-86.95,66.2,4.7
201,rafai,12,CF,85,4.95,23.92,77.57,1.14
202,belaya gora,68,RU,84,68.54,146.19,53.27,8.3
203,ahuimanu,90,US,83,21.44,-157.84,77.0,11.41
204,sarkand,0,KZ,77,45.41,79.91,61.91,2.71
205,andros town,75,BS,66,24.73,-77.79,86.0,16.11
206,nipawin,1,CA,88,53.36,-104.02,64.4,9.17
207,aklavik,75,CA,75,68.22,-135.01,46.4,9.17
208,voh,0,NC,100,-20.95,164.69,68.21,11.99
209,wanning,40,AT,61,48.64,13.53,78.8,4.7
210,kosa,0,RU,66,59.94,54.99,51.92,9.08
211,sobolevo,44,RU,58,54.43,31.9,75.14,6.17
212,marienburg,0,DE,31,52.12,9.98,91.4,5.82
213,fairbanks,90,US,87,64.84,-147.72,59.0,3.36
214,guerrero negro,0,MX,64,27.97,-114.04,81.89,8.63
215,ingham,24,AU,100,-18.65,146.16,67.85,2.15
216,lagoa,0,PT,30,37.14,-8.45,93.2,6.93
217,haines junction,64,CA,57,60.75,-137.51,53.9,2.71
218,nemuro,24,JP,100,43.32,145.57,60.29,22.06
219,saint-philippe,1,CA,78,45.36,-73.48,78.8,5.82
220,tual,88,ID,100,-5.67,132.75,78.11,11.21
221,ales,0,FR,38,44.13,4.08,93.2,11.41
222,la ronge,40,CA,60,55.1,-105.3,71.6,2.24
223,codrington,0,AU,86,-28.95,153.24,54.17,6.17
224,basco,1,US,58,40.33,-91.2,86.0,6.73
225,waipawa,92,NZ,95,-39.94,176.59,45.89,2.71
226,skibbereen,40,IE,60,51.55,-9.27,73.4,11.41
227,havelock,75,US,83,34.88,-76.9,78.8,8.05
228,mount gambier,92,AU,93,-37.83,140.78,48.86,9.19
229,colomiers,0,FR,26,43.61,1.33,95.0,9.17
230,cacule,8,BR,41,-14.5,-42.22,84.14,12.44
231,lumeje,0,AO,48,-11.56,20.78,73.79,4.05
232,sistranda,75,NO,93,63.73,8.83,59.0,2.24
233,manggar,64,ID,87,-2.88,108.27,78.2,9.98
234,faanui,48,PF,100,-16.48,-151.75,79.46,10.09
235,darab,12,IR,29,28.75,54.55,71.99,2.93
236,upata,32,VE,91,8.02,-62.41,80.36,4.38
237,iqaluit,90,CA,87,63.75,-68.52,48.2,4.7
238,suntar,24,RU,74,62.16,117.65,60.56,6.29
239,dakar,20,SN,70,14.69,-17.45,84.2,4.7
240,ribeira grande,40,PT,69,38.52,-28.7,77.0,10.29
241,gudari,76,IN,84,19.34,83.79,76.22,4.72
242,bridlington,75,GB,61,54.08,-0.19,77.0,3.36
243,nortelandia,0,BR,74,-14.45,-56.8,85.04,3.94
244,pundaguitan,76,PH,100,6.37,126.17,81.98,7.63
245,ahipara,88,NZ,100,-35.17,173.16,47.24,3.6
246,north platte,1,US,52,41.12,-100.77,87.8,10.29
247,coquimbo,0,CL,62,-29.95,-71.34,57.2,8.05
248,cockburn town,64,TC,95,21.46,-71.14,83.33,18.25
249,westport,75,IE,82,53.8,-9.52,62.6,6.93
250,saldanha,80,PT,43,41.42,-6.55,87.29,3.94
251,samarai,92,PG,100,-10.62,150.67,76.76,14.67
252,chikodi,92,IN,98,16.43,74.6,69.65,10.54
253,colares,0,PT,11,38.8,-9.45,107.6,8.05
254,tateyama,0,JP,95,36.66,137.31,61.46,1.25
255,carutapera,92,BR,92,-1.2,-46.02,79.1,8.63
256,taltal,0,CL,75,-25.41,-70.49,64.07,2.71
257,itacare,0,BR,84,-14.28,-39.0,77.21,7.63
258,wangaratta,90,AU,87,-36.36,146.32,48.2,8.05
259,khani,92,GE,100,41.96,42.96,73.4,3.36
260,chinautla,75,GT,64,14.69,-90.49,71.6,16.11
261,voyvozh,0,RU,70,62.89,54.96,46.88,7.74
262,muriwai beach,90,NZ,100,-36.82,174.45,44.6,1.12
263,muzhi,0,RU,69,65.4,64.7,45.35,15.79
264,ndjole,20,GA,85,-0.18,10.76,75.41,2.59
265,winsum,0,NL,42,53.33,6.52,86.0,9.17
266,zhigansk,0,RU,82,66.77,123.37,56.42,1.81
267,kasongo-lunda,80,CD,71,-6.48,16.82,79.46,2.15
268,japura,48,ID,92,-0.42,102.29,73.79,2.15
269,avera,75,US,78,33.19,-82.53,82.4,5.82
270,tevriz,100,RU,67,57.51,72.4,64.79,13.67
271,bambous virieux,40,MU,83,-20.34,57.76,73.4,2.48
272,chalus,75,IR,79,36.66,51.42,84.2,0.81
273,souillac,0,FR,22,45.6,-0.6,96.8,5.82
274,hovd,75,NO,77,63.83,10.7,64.4,5.82
275,teya,75,MX,59,21.05,-89.07,89.6,13.87
276,juegang,48,CN,96,32.31,121.18,80.99,11.99
277,umm lajj,0,SA,80,25.02,37.27,85.58,6.96
278,mackay,90,CA,93,53.65,-115.58,57.2,8.05
279,puga,92,MX,100,20.14,-98.07,70.28,3.15
280,dinard,0,FR,57,48.63,-2.06,89.6,6.93
281,ures,0,MX,39,30.73,-112.95,101.42,5.95
282,bonavista,0,CA,86,48.65,-53.11,61.73,14.0
283,bitung,40,ID,83,1.44,125.19,75.2,5.82
284,langsa,20,ID,97,4.47,97.97,71.81,2.26
285,coihaique,90,CL,75,-45.58,-72.07,42.8,8.05
286,komsomolskiy,92,RU,84,67.55,63.78,39.5,13.33
287,tura,76,IN,95,25.52,90.21,77.21,2.15
288,darhan,0,MN,84,49.49,105.92,55.61,3.83
289,upernavik,92,GL,89,72.79,-56.15,41.03,30.44
290,jiwani,44,PK,91,25.05,61.74,81.89,7.4
291,hasaki,40,JP,100,35.73,140.83,77.0,4.7
292,kahului,20,US,88,20.89,-156.47,75.2,14.99
293,puerto ayacucho,75,CO,74,5.66,-67.63,82.4,3.36
294,gopalpur,56,IN,94,25.6,86.94,79.37,9.86
295,peterhead,0,AU,76,-34.83,138.5,53.6,17.22
296,alice springs,0,AU,48,-23.7,133.88,39.2,4.7
297,middelburg,0,ZA,54,-25.77,29.46,56.06,7.74
298,linjiang,0,CN,80,41.81,126.91,77.12,6.4
299,buraydah,0,SA,20,26.33,43.97,102.2,3.36
300,vao,0,EE,72,59.1,26.19,68.21,9.75
301,port blair,92,IN,100,11.67,92.75,80.09,19.71
302,kawai,0,JP,88,34.58,135.74,80.6,8.05
303,nikel,75,NO,87,69.41,30.21,60.8,9.17
304,tiksi,0,RU,92,71.64,128.87,43.1,2.71
305,phangnga,40,TH,74,8.45,98.53,82.4,9.17
306,yeppoon,0,AU,93,-23.13,150.74,53.6,4.38
307,suoyarvi,24,RU,86,62.08,32.35,70.82,2.37
308,norman wells,90,CA,100,65.28,-126.83,51.8,3.36
309,pryyutivka,36,UA,41,48.72,33.07,79.46,10.09
310,tooele,1,US,42,40.53,-112.3,80.6,19.46
311,waddan,0,LY,23,29.16,16.14,90.17,5.84
312,vanimo,76,PG,100,-2.67,141.3,76.22,1.7
313,mawlaik,92,MM,99,23.63,94.42,73.07,1.92
314,fort nelson,75,CA,48,58.81,-122.69,66.2,3.36
315,bjornevatn,75,NO,87,69.67,29.98,60.8,9.17
316,tabuk,92,PH,97,17.41,121.44,69.38,1.48
317,ola,12,RU,100,59.58,151.3,50.0,0.25
318,pacific grove,1,US,72,36.62,-121.92,62.6,2.71
319,talara,0,PE,63,-4.58,-81.27,78.11,10.09
320,karaton,20,ID,65,-6.34,106.1,78.8,2.24
321,reims,0,FR,30,49.26,4.03,93.2,9.17
322,coracora,48,PE,40,-15.02,-73.78,56.96,3.27
323,inhambane,40,MZ,77,-23.87,35.38,69.8,7.18
324,tilichiki,92,RU,100,60.47,166.1,47.06,2.71
325,billings,1,US,39,45.79,-108.5,78.8,3.36
326,ostersund,20,SE,63,63.18,14.64,66.2,9.17
327,tokur,8,RU,90,53.13,132.9,44.9,2.15
328,padang,92,ID,100,-0.92,100.36,78.29,7.74
329,kamenka,0,RU,43,53.19,44.05,75.41,6.96
330,benito juarez,8,MX,45,28.64,-111.57,99.62,6.4
331,ciudad real,12,ES,33,38.99,-3.93,90.62,4.72
332,pinawa,0,CA,69,50.15,-95.88,76.85,13.67
333,taklisah,20,TN,55,36.78,10.63,87.8,11.41
334,kaohsiung,40,TW,83,22.62,120.31,82.4,2.24
335,vito,75,MX,52,19.99,-99.2,64.4,11.41
336,lavrentiya,32,RU,100,65.58,-170.99,46.61,12.21
337,formosa,0,AR,52,-26.19,-58.17,68.0,3.36
338,kankan,12,GN,72,10.38,-9.3,81.26,10.76
339,broken hill,0,AU,81,-31.97,141.45,41.3,9.75
340,vardo,90,US,74,39.62,-77.74,80.6,8.05
341,las palmas,0,PE,65,-6.53,-76.35,84.23,2.37
342,de aar,92,ZA,23,-30.65,24.01,62.18,8.63
343,jardim,92,BR,100,-21.48,-56.15,66.14,4.61
344,schiedam,0,NL,37,51.92,4.4,89.6,8.05
345,ust-tsilma,12,RU,63,65.44,52.15,49.04,4.83
346,parintins,56,BR,48,-2.63,-56.73,92.15,6.4
347,pastavy,56,BY,66,55.11,26.84,77.12,7.63
348,chifeng,0,CN,85,42.27,118.96,71.54,5.61
349,rongcheng,92,CN,88,37.16,122.42,81.62,10.31
350,santa rita,75,VE,65,10.21,-67.56,82.4,2.37
351,kattivakkam,75,IN,78,13.22,80.32,82.4,10.29
352,pachora,92,IN,78,20.66,75.35,75.86,12.77
353,kajaani,0,FI,88,64.22,27.73,66.2,4.7
354,birjand,0,IR,13,32.86,59.22,80.6,11.41
355,ixtapa,90,MX,70,20.71,-105.21,87.8,2.24
356,bilibino,20,RU,69,68.06,166.44,49.04,3.94
357,peniche,0,PT,11,39.36,-9.38,107.6,8.05
358,narsaq,75,GL,54,60.91,-46.05,55.4,4.7
359,marawi,92,PH,100,8.0,124.29,68.12,3.94
360,saravena,24,CO,83,6.96,-71.88,77.84,2.59
361,buta,32,CD,87,2.79,24.73,77.66,1.36
362,yar-sale,48,RU,98,66.83,70.83,46.79,10.65
363,tagusao,76,PH,99,9.19,117.81,77.75,13.33
364,gazli,0,UZ,25,40.13,63.45,79.46,7.74
365,boffa,92,GN,100,10.18,-14.04,74.42,6.06
366,ocampo,32,PH,100,13.56,123.37,78.02,11.43
367,pilar,90,AR,93,-34.46,-58.91,53.6,3.36
368,zhuhai,0,CN,78,40.71,112.04,73.4,4.47
369,caravelas,48,BR,100,-17.73,-39.27,75.59,11.21
370,poum,75,MK,68,41.28,20.71,71.6,2.24
371,svatove,24,UA,47,49.42,38.16,73.88,4.27
372,mehamn,75,NO,87,71.03,27.85,55.4,2.24
373,lawrence,1,US,38,38.97,-95.24,89.6,14.99
374,shahrud,36,IR,63,36.42,54.97,70.19,3.04
375,majene,80,ID,97,-3.54,118.97,81.8,15.68
376,sept-iles,75,CA,77,50.2,-66.38,68.0,10.29
377,saint-joseph,0,FR,51,43.56,6.97,87.8,5.82
378,abeokuta,75,NG,78,7.16,3.35,80.6,11.41
379,tarakan,92,ID,89,3.3,117.63,82.79,7.29
380,karratha,0,AU,57,-20.74,116.85,49.31,7.07
381,damghan,8,IR,39,36.17,54.34,80.09,7.29
382,faya,40,SA,57,18.39,42.45,75.2,11.41
383,balakhninskiy,76,RU,99,58.01,114.28,56.42,3.94
384,villarrica,92,CL,100,-39.28,-72.23,41.48,3.6
385,elkhart,1,US,43,37.01,-101.89,89.6,16.11
386,nuuk,20,GL,44,64.17,-51.74,59.0,6.93
387,manicore,40,BR,62,-5.81,-61.3,89.6,6.93
388,batemans bay,0,AU,77,-35.71,150.18,53.63,11.54
389,khor,76,RU,80,47.88,134.96,58.94,2.82
390,bima,8,ID,100,-8.45,118.73,69.02,4.05
391,flinders,75,AU,62,-34.58,150.85,51.8,18.34
392,el campo,1,US,41,29.2,-96.27,91.4,5.82
393,kalakamati,0,BW,38,-20.59,27.31,73.4,9.17
394,tetela de ocampo,64,MX,85,19.82,-97.8,62.09,1.59
395,nea stira,20,GR,35,38.18,24.2,86.0,11.41
396,talnakh,24,RU,87,69.49,88.39,42.38,15.79
397,cap malheureux,40,MU,83,-19.98,57.61,73.4,4.61
398,pucara,75,BO,34,-16.6,-68.57,53.6,13.87
399,kanniyakumari,32,IN,98,8.08,77.57,79.73,17.92
400,mabaruma,36,GY,83,8.2,-59.78,84.32,4.94
401,uruzgan,0,AF,71,32.93,66.63,53.18,1.7
402,corrente,56,BR,40,-17.45,-44.68,84.59,5.06
403,yaroslavskiy,88,RU,77,44.19,132.23,68.48,5.61
404,severo-kurilsk,48,RU,100,50.68,156.12,50.12,3.83
405,elliot lake,75,CA,73,46.37,-82.65,73.4,5.82
406,aripuana,8,BR,38,-9.17,-60.63,95.66,3.04
407,san luis,0,AR,29,-33.3,-66.34,64.52,10.09
408,kerman,75,IR,6,30.29,57.06,87.8,9.17
409,sola,75,FI,77,62.78,29.36,69.8,8.05
410,birao,48,CF,65,10.3,22.78,81.71,4.61
411,port-cartier,75,CA,77,50.03,-66.88,68.0,10.29
412,talcahuano,75,CL,82,-36.72,-73.12,55.4,6.93
413,west bay,20,GB,61,50.71,-2.76,84.2,9.17
414,kingaroy,0,AU,91,-26.54,151.84,49.67,8.19
415,ulyanovsk,56,RU,45,54.31,48.36,82.4,4.47
416,kushiro,20,JP,67,43.11,144.15,58.94,8.63
417,luwuk,32,ID,96,-0.95,122.79,74.96,5.61
418,klaksvik,92,FO,100,62.23,-6.59,51.8,11.41
419,borgarnes,90,IS,81,64.54,-21.92,51.8,9.17
420,torrelavega,0,ES,65,43.35,-4.05,82.4,3.36
421,caucaia,20,BR,65,-3.73,-38.66,82.4,23.04
422,yatou,75,CM,78,3.63,9.81,80.6,4.7
423,luderitz,68,NA,92,-26.65,15.16,56.42,2.37
424,vilyuysk,0,RU,90,63.75,121.63,53.63,4.72
425,riyadh,0,SA,8,24.63,46.72,102.2,8.05
426,charyshskoye,0,RU,67,51.4,83.56,58.22,3.6
427,labuhan,24,ID,93,-2.54,115.51,68.75,2.59
428,thinadhoo,76,MV,100,0.53,72.93,83.51,4.72
429,grand island,1,US,51,40.92,-98.34,84.2,19.46
430,kawalu,76,ID,100,-7.38,108.21,59.66,1.7
431,charlestown,1,US,74,41.38,-71.64,89.6,12.75
432,launceston,90,AU,100,-41.43,147.14,46.4,7.4
433,chuy,92,UY,90,-33.69,-53.46,59.21,12.33
434,dudinka,76,RU,80,69.41,86.18,44.81,18.03
435,obo,24,CF,91,5.39,26.49,74.42,2.93
436,nara,0,JP,88,34.68,135.8,80.6,8.05
437,cruz grande,90,MX,83,16.72,-99.13,78.8,4.7
438,rohnert park,1,US,77,38.34,-122.7,66.2,2.93
439,moron,75,VE,65,10.49,-68.2,82.4,2.15
440,basak,90,PH,78,10.29,123.96,78.8,4.7
441,huarmey,8,PE,64,-10.07,-78.15,71.09,4.5
442,port macquarie,40,AU,82,-31.43,152.91,55.4,6.93
443,wawa,56,NG,86,9.9,4.41,77.39,9.19
444,mujiayingzi,0,CN,85,42.12,118.78,71.54,5.61
445,kathmandu,75,NP,94,27.71,85.32,71.6,3.36
446,vale,92,GE,100,41.62,42.88,54.89,0.58
447,tutoia,20,BR,62,-2.76,-42.27,89.6,14.99
448,harare,0,ZW,27,-17.83,31.05,59.03,9.53
449,xining,92,CN,99,36.62,101.77,57.41,2.59
450,alugan,80,PH,99,12.22,125.48,79.73,12.66
